Komentar,Nama Pengguna,Rating,Tanggal,Nama Aplikasi
Sangat membantu utk mengetahui cuaca dan gempa yg ada di seluruh kota di Indonesia jdi lebi waspada krn ada notif yg di informasikan,Mersi budiono,5,2024-11-15 21:27:21,InfoBMKG
Ut cuaca cukup akurat,bambang agus sudarmaji,4,2024-11-15 10:18:46,InfoBMKG
Kenapa saya kasih bintang empat 🌟🌟🌟🌟 Karena ini pemerintah yang boleh pakek jadi saya kasih bintang empat 🌟🌟🌟🌟,komang pasek rusnanda suantara,4,2024-11-15 03:40:25,InfoBMKG
"Saya mau kasih saran, untuk notifikasi gempa sebaiknya hanya di berikan yang dekat dengan lokasi kita berada, selama ini semua notifikasi gempa masuk walaupun lokasinya sangat jauh dari kita.Terimakasih",Asep Kurniawan,5,2024-11-14 08:44:28,InfoBMKG
Biasa,Mustamin Musli,5,2024-11-13 10:17:23,InfoBMKG
Mantap,Ujang Adi,5,2024-11-12 11:59:02,InfoBMKG
Untuk informasi kualitas udara mohon diperluas lagi.khususnya daerah yang sering terjadi kebakaran hutan.untuk tampilan cuaca mohon dilengkapi lagi seperti aplikasi-aplikasi lain.,pitoyev,3,2024-11-12 10:26:44,InfoBMKG
Sangat bermanfaat,presidium perwira,5,2024-11-12 10:06:08,InfoBMKG
"BMKG handal, Demi Indonesia, Sukses selalu...Aamiin🤲",Adi Nugroho,5,2024-11-10 09:33:21,InfoBMKG
"Min, kalok prediksi cuaca yg bener dong, katanya bakal ujan tpi gak ujan2 nih daerah denpasar Php lu min",Abi Virdiansyah,1,2024-11-10 08:29:25,InfoBMKG
"Aplikasinya cukup bagus. Cuma sedikit saran aja. D bagian info cuaca, pengguna dapat berpartisipasi memberikan info cuaca yang terlihat oleh pengguna. Tapi di fitur itu pengguna hanya bisa memilih satu saja fenomena yang ada. Sedangkan terkadang ada dua atau tiga fenomena cuaca yang bisa terjadi dalam satu waktu. Misal berawan, hujan ringan, angin kencang. Jadi mungkin bisa d buat pengguna dapat memilih lebih dari 1 fenomena cuaca. Terimakasih, semoga BMKG kita semakin maju ya",Niken Nutricillia,5,2024-11-10 07:50:44,InfoBMKG
aplikasi ini bisa mendeteksi gempa,elisa astaria,5,2024-11-09 23:49:56,InfoBMKG
A.S,Alan Seme,5,2024-11-09 05:37:20,InfoBMKG
",👍",Wahyudi Yudi,5,2024-11-08 13:33:24,InfoBMKG
"Buat notifikasi pop up saat gempa terjadi di wilayah yang sesuai kita pilih. Jadi nanti kalo ada gempa yang di wilayah terkena dampak itu akan dapat pop up, sedangkan wilayah yang tidak kena dampak hanya notifikasi biasa, dan juga ditambahan suara notifikasi peringatan yang berbeda dengan notif biasa.",Dzaky Dwi A,3,2024-11-08 06:06:29,InfoBMKG
"Untuk keseluruhan, sudah bagus. Saran saya tambah mode gelap ke aplikasi ini.",09_I Putu Indra Adiprawira_XH,5,2024-11-07 13:31:39,InfoBMKG
Cukup bagusss,Ali Sabet,4,2024-11-07 13:12:37,InfoBMKG
Cukup bagus,Allam Tanjung,5,2024-11-07 03:34:57,InfoBMKG
ok,punnalipu mechanical,5,2024-11-07 02:30:47,InfoBMKG
Bagus.twrima kasih atas INFONYA,M.SYAIFUL LUQONI,5,2024-11-07 02:02:39,InfoBMKG
خزغة٥ م،، ٥زع,Ambyak Taflikhul,4,2024-11-05 12:53:22,InfoBMKG
Cuaca Terbaik 😇,Sucian Rizky Ramadhani,5,2024-11-05 11:20:13,InfoBMKG
Aplikasi sampah disini hujan tapi info dari BMKG GK hujan GK berguna,Pur Yadi,1,2024-11-04 11:32:30,InfoBMKG
Aplikasi nya sangat informatif dan membantu,Sjaiful Hadi,5,2024-11-04 06:30:37,InfoBMKG
sangat membantu sekali pada setiap kondisi.,abdul kadir,5,2024-11-04 03:59:07,InfoBMKG
Ok,Sulaiman Sulaiman,5,2024-11-04 03:58:25,InfoBMKG
"Selalu mengikuti,untuk mendapatkan info terkini tentamg fenomena iklim",Wiguna Lalu,4,2024-11-03 12:39:32,InfoBMKG
Bagus sekali,Tgk Al-Bayan,5,2024-11-03 08:27:20,InfoBMKG
Mantap dan pas sesuai prediksi,Zilong Maraton,5,2024-11-03 06:25:42,InfoBMKG
mantap beritanya,Dean Bisa,5,2024-11-03 03:23:40,InfoBMKG
Oke,Nita Lestari Ningsih,4,2024-11-03 00:00:37,InfoBMKG
RIVALDI RISTIANDI PRATAMA,Dadangsuhendi Depe,5,2024-11-02 21:45:37,InfoBMKG
Sangat bermanfaat.,samsul makarif,5,2024-11-02 14:27:46,InfoBMKG
Berkat kalian saya jadi tahu informasi tentang cuaca dan cara menanganinya,Sharah Mutamimmah,5,2024-11-02 11:21:14,InfoBMKG
Aplikasinya Bagus Tolong Perbaiki Yang Kondisi Cuaca Nya Yang Cerah Tanpa Awan Gak Ada Lambang Matahari Gitu Tolong Perbaiki Lah,SATRIA Pratama,5,2024-11-02 08:02:28,InfoBMKG
Wow keren 🥳🥳🥳,Mohammad Saiun,5,2024-11-02 07:50:15,InfoBMKG
Mantap,mhflvi_,5,2024-11-02 05:52:55,InfoBMKG
Ini kenapa kok gak bisa tampil ke menu utama ya stuck di logo aja,Deni Saputra,1,2024-11-02 04:15:49,InfoBMKG
"Tk,s",Kasi Yanto,5,2024-11-01 19:46:04,InfoBMKG
"halo, bisakah tambahkan mode gelap?",M. Iqbal,5,2024-11-01 19:08:23,InfoBMKG
Saya suka ini,Tri Wahyudi,5,2024-11-01 15:18:21,InfoBMKG
Mantap,Aulia Megaputri,5,2024-11-01 11:41:24,InfoBMKG
"Aplikasi yang bagus, semoga bisa mengupdate lebih akurat lagi perihal cuaca setempat",Randa Okta,5,2024-11-01 08:56:50,InfoBMKG
Bagus pokonya👍,Abang Abang,5,2024-11-01 08:23:29,InfoBMKG
Terima kasih,sutar yanto,5,2024-11-01 06:54:55,InfoBMKG
"Informasi yang diberikan sangat bermanfaat serta selalu terupdate sehingga dapat membantu orang - orang untuk waspada lebih dini sebelum musibah datang, terimakasih sudah menciptakan APK ini, tingkatkan terus APKnya agar lebih baik dan lebih baik lagi kedepannya. Saya terkhusus In Shaa Allah, akan terus membantu update info BMKG melalui status Saya, yang mungkin akan sangat bermanfaat bagi keluarga dan teman2 yang ada dikontak Saya.",Heri Sutrisno,4,2024-11-01 06:30:38,InfoBMKG
Sangat membantu Sekali,jio ndeso chanel,5,2024-11-01 06:22:32,InfoBMKG
Baru coba,Noval Gio,4,2024-11-01 06:04:05,InfoBMKG
Sangat membantu,Syahid Pramboyan,4,2024-11-01 04:57:59,InfoBMKG
Memantau cuaca jadi lebih mudah dengan aplikasi ini,Riyan Pratama,5,2024-11-01 00:39:01,InfoBMKG
Good,Djoni Gunata,5,2024-10-31 17:40:23,InfoBMKG
Updatenya SDH bagus tapi agak telat,Novi Amir,4,2024-10-31 15:00:51,InfoBMKG
Mantap sangat membantu👍👍,SAGERUDDIN,5,2024-10-31 14:39:38,InfoBMKG
Sangat membantu dalam menerima info cuaca dan yang lainnya,nurhidayah yayah,5,2024-10-31 11:46:22,InfoBMKG
Bagus cuma kadang eror kenapa ya apakah hp saya yg kentang,Pras Aww,3,2024-10-31 11:31:08,InfoBMKG
Bagud,Ronald P.Pallangan.S,5,2024-10-31 10:16:32,InfoBMKG
Stuck di display putih tengahnya hanya ada logo BMKG nya saja. Sudah semingguan dipantau dan tetap sama. Auto uninstall.,Muhammad Iqbal,1,2024-10-31 08:10:00,InfoBMKG
Ok,David Que (Opotque71),5,2024-10-31 02:06:02,InfoBMKG
tolong tambahin mode gelap dong,Rizal Jr,4,2024-10-31 00:57:45,InfoBMKG
Sangat membantu kewaspadaan saat sebelum terjadi hujan,Arif Ramadhan,5,2024-10-30 23:33:21,InfoBMKG
Bagus aplikasinya sangat membantu.,Agung “Agung Anom mangku” Anom,4,2024-10-30 22:51:34,InfoBMKG
Tolong tampilkan juga hilal setiap bulan. Suoaya nggak ribut terus saat idul fitri sama awal ramadhan terus,Khotib Ahmad,5,2024-10-30 22:23:20,InfoBMKG
"Udah abis gempa baru dikasi tau ada gempa, ini aplikasi peringatan gempa apa perayaan gempa ?",hendra noor,1,2024-10-30 21:19:55,InfoBMKG
Bermanfaat sekali untuk mendapat informasi👍👍👍,BAGUS Official_one,5,2024-10-30 19:18:47,InfoBMKG
Ok mntap,Indonesia177 Keren,5,2024-10-30 17:33:45,InfoBMKG
Sangat membantu dalam saya menjalankan tugas,Alim Jaka Prayitno,5,2024-10-30 17:15:57,InfoBMKG
Sangat bermanfaat,Oman Syaefurrochman,5,2024-10-30 17:01:20,InfoBMKG
𝗔𝗸𝘂 𝘀𝗮𝗻𝗴𝗮𝘁 𝗺𝗲𝗻𝘆𝘂𝗸𝗮𝗶 𝗮𝗽𝗹𝗶𝗸𝗮𝘀𝗶 𝗶𝗻𝗳𝗼𝗿𝗺𝗮𝘀𝗶 𝗯𝗲𝗻𝗰𝗮𝗻𝗮 𝗮𝗹𝗮𝗺 indonesia,Bang Ully'69,5,2024-10-30 11:53:07,InfoBMKG
membantu untuk beraktifitas kerja dilapangan,hendra hakam,5,2024-10-30 11:14:35,InfoBMKG
Sekarang lahi hujan,Sarno Wiyoto,5,2024-10-30 09:44:16,InfoBMKG
🥰,Rhenatachi,5,2024-10-30 05:18:07,InfoBMKG
sangat bermanfaat untuk kami petani,yusuf benu,5,2024-10-30 05:15:09,InfoBMKG
"Alhamdulilla membantu, saya sarankan lebih akurat lagi",Hasan Rosidi,4,2024-10-30 04:55:18,InfoBMKG
ok,Siti Sundari,5,2024-10-30 04:39:32,InfoBMKG
"Sangat penting ,kita bida tahu keadaan alam kedepannya...trims",Taufik Helmi,5,2024-10-30 04:21:49,InfoBMKG
Bagus aplikasinya,Ashar Bonea,4,2024-10-30 04:21:41,InfoBMKG
sy berharap ada mode gelap di update berikutnya. silau sekali dengan latar putih,Nn,4,2024-10-30 03:59:01,InfoBMKG
Maaf kak bmkg anda telat memberikan informasi tentang bencana alam,Irene regina Syahda,1,2024-10-30 03:55:40,InfoBMKG
Nice aplikasi,Pariaji,5,2024-10-30 02:35:54,InfoBMKG
Infonya kok tidak up date ya,pin rosiana,4,2024-10-30 02:06:04,InfoBMKG
Informasi suhu cuaca real-time tidak serasi dengan sumber lainnya,Auffa 1102 (Mr. Auf),3,2024-10-29 13:01:15,InfoBMKG
I love BMKG Gowa,Alicia Elizabeth,5,2024-10-28 11:03:56,InfoBMKG
"Cukup akurat.. Tapi tolong untuk cuaca di bagusin interfacenya.. Dlm bentuk tabel ke bawah aja lbh bgs,dan di beri tanggal nya jg.. Cape saya scroll2 nya untuk liat cuaca ampe 1-2 minggu ke dpn..semoga di respon dan di perbaiki.. Terima kasih",Bong Paulus,5,2024-10-28 08:29:53,InfoBMKG
Keren banget,HARITS DITYA,5,2024-10-27 10:49:07,InfoBMKG
Semangat terus BMKG dalam mengembangkan aplikasi nya. Satu-satunya aplikasi pemerintah yang saya sukai,pejuang Iklim,5,2024-10-26 06:02:05,InfoBMKG
"Overall aplikasinya sudah bagus, tetapi tolong dong min untuk notifikasi gempa di munculkan saat gempa yang letak lokasinya dekat dengan lokasi user jangan munculkan setiap ada gempa yang jarak lokasinya jauh dari user. rada risih soalnya",Wamar Tyno,2,2024-10-24 17:34:40,InfoBMKG
